#             eta             phi             dep             det    value      DetId
              -14              24               1              HB  1.06000   42004718
              -15              24               1              HB  1.14582   42004798
              -15              24               2              HB  1.06796   42008798
              -16              24               1              HB  1.30481   42004818
              -16              24               2              HB  1.30343   42008818
               -1              25               1              HB  1.06884   42004099
               -2              25               1              HB  1.08872   42004119
               -3              25               1              HB  1.15039   42004199
               -4              25               1              HB  1.14351   42004219
               -5              25               1              HB  1.04302   42004299
               -6              25               1              HB  1.09456   42004319
               -7              25               1              HB  1.11251   42004399
               -8              25               1              HB  1.11547   42004419
               -9              25               1              HB  1.07379   42004499
              -10              25               1              HB  1.05506   42004519
              -11              25               1              HB  1.07296   42004599
              -12              25               1              HB  1.04612   42004619
              -13              25               1              HB  0.99831   42004699
              -14              25               1              HB  0.97843   42004719
              -15              25               1              HB  0.95313   42004799
              -15              25               2              HB  0.78554   42008799
              -16              25               1              HB  1.14874   42004819
              -16              25               2              HB  1.23616   42008819
               -1              26               1              HB  1.17543   4200409A
               -2              26               1              HB  1.06779   4200411A
               -3              26               1              HB  1.02761   4200419A
               -4              26               1              HB  1.13267   4200421A
               -5              26               1              HB  1.03853   4200429A
               -6              26               1              HB  1.04844   4200431A
               -7              26               1              HB  1.00702   4200439A
               -8              26               1              HB  1.16324   4200441A
               -9              26               1              HB  1.06620   4200449A
              -10              26               1              HB  1.04448   4200451A
              -11              26               1              HB  0.99458   4200459A
              -12              26               1              HB  1.09106   4200461A
              -13              26               1              HB  1.12863   4200469A
              -14              26               1              HB  1.21588   4200471A
              -15              26               1              HB  1.03397   4200479A
              -15              26               2              HB  1.32673   4200879A
              -16              26               1              HB  1.48492   4200481A
              -16              26               2              HB  1.34445   4200881A
               -1              27               1              HB  1.09898   4200409B
               -2              27               1              HB  1.15169   4200411B
               -3              27               1              HB  1.09398   4200419B
               -4              27               1              HB  1.12267   4200421B
               -5              27               1              HB  1.13030   4200429B
               -6              27               1              HB  1.11811   4200431B
               -7              27               1              HB  1.07185   4200439B
               -8              27               1              HB  1.09091   4200441B
               -9              27               1              HB  1.08262   4200449B
              -10              27               1              HB  1.09327   4200451B
              -11              27               1              HB  1.09279   4200459B
              -12              27               1              HB  1.09129   4200461B
              -13              27               1              HB  1.10789   4200469B
              -14              27               1              HB  1.09514   4200471B
              -15              27               1              HB  1.09547   4200479B
              -15              27               2              HB  1.18396   4200879B
              -16              27               1              HB  1.37755   4200481B
              -16              27               2              HB  1.29276   4200881B
               -1              28               1              HB  1.21035   4200409C
               -2              28               1              HB  1.16243   4200411C
               -3              28               1              HB  1.19716   4200419C
               -4              28               1              HB  1.15700   4200421C
               -5              28               1              HB  1.13517   4200429C
               -6              28               1              HB  1.13257   4200431C
               -7              28               1              HB  1.21637   4200439C
               -8              28               1              HB  1.25195   4200441C
               -9              28               1              HB  1.14913   4200449C
              -10              28               1              HB  1.22914   4200451C
              -11              28               1              HB  1.27220   4200459C
              -12              28               1              HB  1.30972   4200461C
              -13              28               1              HB  1.23662   4200469C
              -14              28               1              HB  1.01772   4200471C
              -15              28               1              HB  1.05832   4200479C
              -15              28               2              HB  1.05062   4200879C
              -16              28               1              HB  1.27563   4200481C
              -16              28               2              HB  1.28461   4200881C
               -1              29               1              HB  1.17275   4200409D
